Course,Name,Description,Prerequisites,Lab,Hours,Focus,Semester,ClassSize,CatLink,RegLink
GEOG 474,Field Studies in Biogeography,"A field-research course in biogeography based on a combination of reading, discussion, and data analysis. Involves a week-long field trip; a field trip fee may be applied.","GEOG 274; permission of the department; ermission of the department must be acquired by 15 March of previous Winter Session; GEOG 252 and GEOG 303 recommended prior to GEOG 474; Credit will be granted for only one of GEOG 474, GEOG 471A; ",,3-0-0,Environment Physical,??,,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/HklevBdTm4?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG474%20-%20Field%20Studies%20in%20Biogeography&bcGroup=Geography%20(GEOG)&bcItemType=courses,
GEOG 476,Advanced Topics in Geomorphology,"Focusing on various geomorphologic themes, students complete a major research project based on field work to supplement lectures, seminars and field/lab projects.","GEOG 376; Credit granted for only one of GEOG 476, GEOG 471C",,3-0-0,Physical,Fall,25,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/SkZvSupQV?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG476%20-%20Advanced%20Topics%20in%20Geomorphology&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=476
GEOG 477,Field Studies in Physical Geography,"The nature of scientific research in physical geography is examined through field and laboratory techniques. Includes a week-long field camp where basic approaches, methodologies and techniques are used to prepare a series of reports based on field data and collected samples. A field trip fee may be applied.","Complete 1 of: GEOG 358, GEOG 370, GEOG 373, GEOG 376; permission of the department; Permission of the department must be acquired by 15 March of previous Winter Session; Credit will be granted for only one of GEOG 477, GEOG 471D",,3-0-0,Physical,Fall,12,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/By-wSupXE?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG477%20-%20Field%20Studies%20in%20Physical%20Geography&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=477
GEOG 484,Advanced Topics in Weather and Climate,Detailed examination of atmospheric structures and processes underlying weather and climate. Practical work focuses on analysis of vertical stability and utilizing computer weather model data.,GEOG 373,,3-0-0,Physical,Spring,16,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/ry4DHdpX4?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG484%20-%20Advanced%20Topics%20in%20Weather%20and%20Climate&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=484
GEOG 487,Advanced Landscape Ecology,"Explores current theory, concepts, methods and applications of landscape ecology for both natural and managed landscapes. Topics may include relationship of landscape ecology to ecological theory, models of metapopulations, landscape structure and animal movement and predator-prey interactions. Applications including forestry, parks and protected areas and wildlife management. Some years the course is taught as a field course.",GEOG 358,,3-0-0,Environment Physical,Spring,24,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/ByBPrOTmV?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG487%20-%20Advanced%20Landscape%20Ecology&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=487
GEOG 490,Directed Studies in Geography,"In special cases, with the consent of the department and the individual instructor concerned, a student may be permitted to pursue a course of directed studies.","Complete all of the following: Minimum fourth-year standing, permission of the department; May be taken more than once for credit to a maximum of 3 units; Courses of 1.5 or 3 units may be arranged, but no student is permitted to take more than 3 units of directed studies.",,,Directed Studies,??,,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/ByIwBOTQV?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG490%20-%20Directed%20Studies%20in%20Geography&bcGroup=Geography%20(GEOG)&bcItemType=courses,
GEOG 491,Advanced Topics in Geography: Anti-Racism and Geography,Examination of a specific topic or area in Geography. Topic(s) vary depending on faculty interests and availability. The seminar format of this course requires students to participate orally in class and to submit a term paper.,Minimum third-year standing; additional prerequisites set by department depending upon topic.; May be taken more than once for credit in different topics,,3-0-0,Human,,,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/H1lLvHdaQV?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG491%20-%20Advanced%20Topics%20in%20Geography&bcGroup=Geography%20(GEOG)&bcItemType=courses,
GEOG 491,Advanced Topics in Geography: Community-Based Participatory Research,Examination of a specific topic or area in Geography. Topic(s) vary depending on faculty interests and availability. The seminar format of this course requires students to participate orally in class and to submit a term paper.,Minimum third-year standing; additional prerequisites set by department depending upon topic.; May be taken more than once for credit in different topics,,3-0-0,Human,,,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/H1lLvHdaQV?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG491%20-%20Advanced%20Topics%20in%20Geography&bcGroup=Geography%20(GEOG)&bcItemType=courses,
GEOG 491,Advanced Topics in Geography: Urban Mobility,Examination of a specific topic or area in Geography. Topic(s) vary depending on faculty interests and availability. The seminar format of this course requires students to participate orally in class and to submit a term paper.,Minimum third-year standing; additional prerequisites set by department depending upon topic.; May be taken more than once for credit in different topics,,3-0-0,Human,Fall,24,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/H1lLvHdaQV?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG491%20-%20Advanced%20Topics%20in%20Geography&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=491
GEOG 491,Advanced Topics in Geography: Reconstructing Quaternary Environmental Change,Examination of a specific topic or area in Geography. Topic(s) vary depending on faculty interests and availability. The seminar format of this course requires students to participate orally in class and to submit a term paper.,Minimum third-year standing; additional prerequisites set by department depending upon topic.; May be taken more than once for credit in different topics,,3-0-0,Environment,Spring,20,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/H1lLvHdaQV?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG491%20-%20Advanced%20Topics%20in%20Geography&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=491
GEOG 491,Advanced Topics in Geography: Indigenous Environmental Activism,Examination of a specific topic or area in Geography. Topic(s) vary depending on faculty interests and availability. The seminar format of this course requires students to participate orally in class and to submit a term paper.,Minimum third-year standing; additional prerequisites set by department depending upon topic.; May be taken more than once for credit in different topics,,3-0-0,Human,Spring,24,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/H1lLvHdaQV?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG491%20-%20Advanced%20Topics%20in%20Geography&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=491
GEOG 491,Advanced Topics in Geography: Geographies of Waste,Examination of a specific topic or area in Geography. Topic(s) vary depending on faculty interests and availability. The seminar format of this course requires students to participate orally in class and to submit a term paper.,Minimum third-year standing; additional prerequisites set by department depending upon topic.; May be taken more than once for credit in different topics,,3-0-0,Environment,Fall,30,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/H1lLvHdaQV?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG491%20-%20Advanced%20Topics%20in%20Geography&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=491
GEOG 499A,Honours Thesis,Students prepare the first part of an honours thesis under the direction of a faculty member from the department.,"Minimum fourth-year standing; declared Honours in Geography; Credit will be granted for only one of GEOG 499A, GEOG 499, GEOG 499B; GEOG 499A and B are ""tied"" courses and must be taken in consecutive terms except with permission of the department. Credit and final grade for GEOG 499B will be assigned only upon completion of both courses; if 499B is not completed, a grade equivalent to N will be assigned to 499A",,3-0-0,Honours,Fall Spring,20,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/HyDwHupQV?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG499A%20-%20Honours%20Thesis&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=499A
GEOG 499B,Honours Thesis,Students prepare the first part of an honours thesis under the direction of a faculty member from the department.,"Minimum fourth-year standing; declared Honours in Geography; Credit will be granted for only one of GEOG 499A, GEOG 499, GEOG 499B; GEOG 499A and B are ""tied"" courses and must be taken in consecutive terms except with permission of the department. Credit and final grade for GEOG 499B will be assigned only upon completion of both courses; if 499B is not completed, a grade equivalent to N will be assigned to 499A",,3-0-0,Honours,Fall Spring,20,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/HyDwHupQV?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG499A%20-%20Honours%20Thesis&bcGroup=Geography%20(GEOG)&bcItemType=courses,
EOS 120 ,The Dynamic Earth,,,,,Elective,,,,
